symbol,profile.mktCap,profile.companyName,profile.industry,profile.description,profile.sector
PFE,2.01E+11,Pfizer Inc.,Drug Manufacturers,"Pfizer Inc is a biopharmaceutical company that discovers, develops, manufactures, and markets healthcare products including medicines, and vaccines as well as many of the consumer healthcare products.",Healthcare
JD,8.70E+10,JD.com Inc.,Online Media,JD.com Inc is an online direct sales company in China. It acquires products from suppliers and sells them directly to its customers through its website and mobile applications.,Technology
TWTR,2.82E+10,Twitter Inc.,Online Media,"Twitter Inc is a social networking platform for public self-expression and conversation in real time. Its services are live, which includes live commentary, live connections, and live conversations. It generates a majority of its revenue from advertising.",Technology
AVGO,1.26E+11,Broadcom Limited,Semiconductors,"Broadcom Ltd is engaged in designing, developing and supplying analog and digital semiconductor connectivity solutions. Its product portfolio serves wired infrastructure, wireless communications, enterprise storage and industrial and other end markets.",Technology
AMAT,5.48E+10,Applied Materials Inc.,Semiconductors,"Applied Materials Inc is a supplier of semiconductor manufacturing equipment. It provides manufacturing equipment, services and software to the semiconductor, flat panel display, solar photovoltaic and related industries.",Technology
DWDP,70634327500,DowDuPont Inc.,Chemicals,"DowDuPont Inc is jointly owned by Dow and DuPont for the purpose of forming publicly traded companies in the agriculture, materials science and specialty products sectors.",Basic Materials
XOM,2.26E+11,Exxon Mobil Corporation,Oil & Gas - Integrated,"Exxon Mobil Corp is an integrated oil and gas company. It is engaged in exploration for, and production of, crude oil and natural gas. It is also engaged in manufacturing, transportation and sale of crude oil, natural gas and petroleum products.",Energy
QCOM,1.01E+11,QUALCOMM Incorporated,Semiconductors,"Qualcomm Inc develops and licenses wireless technology. It also engages in designing chips for mobile phones. The company is also the world's largest wireless chip vendor, supplying many premier handset makers with leading-edge processors.",Technology
VIPS,1.17E+10,Vipshop Holdings Limited American Depositary Shares each representing two,Retail - Defensive,"Vipshop Holdings Ltd is an online discount retailer for brands in China. The company offers branded products to consumers in China through flash sales on its vipshop.com, vip.com and lefeng.com websites.",Consumer Defensive
CSCO,2.03E+11,Cisco Systems Inc.,Communication Equipment,"Cisco Systems Inc is a supplier of data networking equipment and software. Its products include routers, switches, access equipment, and security and network management software which allow data communication among dispersed computer networks.",Technology
AXP,8.89E+10,American Express Company,Credit Services,"American Express Co is a payments, network and travel company. It provides charge and credit card products, travel services, network services, stored value products, loans, and other products and services to businesses and individuals.",Financial Services
BMY,1.38E+11,Bristol-Myers Squibb Company,Drug Manufacturers,"Bristol-Myers Squibb Co is engaged in discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceuticals products. The company operates in one segment that is Biopharmaceuticals.",Healthcare
V,4.37E+11,Visa Inc.,Credit Services,"Visa Inc is a payments technology company working to enable consumers, businesses, banks and governments to use fast, secure and reliable digital currency. The Company operates processing networks - VisaNet.",Financial Services
WP,36714324181,Worldpay Inc. Class A,Business Services,"Worldpay Inc is a payment processing company that provides integrated technology platform. It offers suite of payment processing services through a single provider, including e-commerce and mobile devices.",Industrials
KEY,1.44E+10,KeyCorp,Banks,"KeyCorp is present in the financial service domain. Its core revenue is derived from the provision of retail and commercial banking, investment management and consumer finance services.",Financial Services
RF,1.29E+10,Regions Financial Corporation,Banks,"Regions Financial Corp is a regional bank headquartered in Alabama, with branches primarily in the southeastern and midwestern United States. It provides banking and bank-related services to individual and corporate customers.",Financial Services
KR,2.59E+10,Kroger Company (The),Retail - Defensive,"The Kroger Co operates grocery stores. Its coverage includes retail food and drug stores, multi-department stores, jewelry stores and convenience stores.",Consumer Defensive
HAL,1.35E+10,Halliburton Company,Oil & Gas - Services,"Halliburton Co is a provider of services and products to the upstream oil and natural gas industry throughout the lifecycle of the reservoir, from locating hydrocarbons and managing geological data, to drilling and formation evaluation.",Energy
BABA,5.93E+11,Alibaba Group Holding Limited,Retail - Apparel & Specialty,"Alibaba Group Holding Ltd is an online and mobile commerce company. It operates China's most popular online marketplaces such as Taobao (C2C), Tmall (B2C), and Juhuasuan. It also engages in advertising, digital media, cloud computing, and other.",Consumer Cyclical
GILD,9.73E+10,Gilead Sciences Inc.,Biotechnology,"Gilead Sciences Inc is a biopharmaceutical company that discovers, develops and commercializes new medicines in areas of unmet medical need. Its products target a number of areas, such as HIV, liver diseases, cardiovascular and other diseases.",Healthcare
GM,4.27E+10,General Motors Company,Autos,"General Motors Company is an American multinational corporation. It designs, builds and sells cars, trucks and automobile parts. The company also provides automotive financing services through General Motors Financial Company, Inc.",Consumer Cyclical
FCX,1.64E+10,Freeport-McMoRan Inc.,Metals & Mining,"Freeport-McMoRan Inc is a mining company. It operates large, long-lived geographically diverse assets with reserves of copper, gold, and molybdenum. It also has mining operations in the Americas.",Basic Materials
CRM,1.57E+11,Salesforce.com Inc,Application Software,"Salesforce.com Inc is a software-as-a-service company that provides enterprise cloud computing solutions, offering social and mobile cloud apps and platform services, as well as professional services to facilitate the adoption of its solutions.",Technology
ATVI,5.55E+10,Activision Blizzard Inc,Application Software,"Activision Blizzard is a developer and publisher of interactive entertainment content and services. It develops and distributes content and services on video game consoles, personal computers, and mobile devices.",Technology
SQ,3.93E+10,Square Inc. Class A,Application Software,Square Inc is a software company offering solutions ranging from payments and point-of-sale services to financial and marketing services. It offers a free software app with its hardware to turn mobile devices into powerful POS solutions in minutes.,Technology
TWX,78237810000,Time Warner Inc.,Entertainment,"Time Warner Inc is an entertainment company. It owns television networks, which include networks such as HBO, CNN, TNT, and the CW. The firm mainly creates and distributes movies and television programming for internal and external distribution outlets.",Consumer Cyclical
NUE,1.33E+10,Nucor Corporation,Steel,Nucor Corp and its affiliates are engaged in the manufacturing of steel and steel products. It also produces direct reduced iron for use in the steel mills. The company is involved in every phase of the steelmaking.,Basic Materials
LOW,9.78E+10,Lowe's Companies Inc.,Retail - Apparel & Specialty,"Lowe's Companies Inc is a home-improvement products dealer. The firm's stores offer products and services for home decorating, maintenance, repair, and remodeling.",Consumer Cyclical
RAD,7.86E+08,Rite Aid Corporation,Retail - Defensive,"Rite Aid Corp operates retail drugstore chains in the United States. The business activity of the group is functioned through two segments namely Retail Pharmacy and Pharmacy Services. It operates more than 4,500 stores in 31 states across the country.",Consumer Defensive
APC,35239680000,Anadarko Petroleum Corporation,Oil & Gas - E&P,Anadarko Petroleum Corp is engaged in the exploration and production of oil and natural gas. Its asset base includes conventional and unconventional properties in the U.S. and deep-water oil and gas projects in the Gulf of Mexico and Africa.,Energy
SLB,3.12E+10,Schlumberger N.V.,Oil & Gas - Services,"Schlumberger Ltd is a supplier of products and services to the oil and gas industry. It provides technology for reservoir characterization, drilling, production, and processing to the oil and gas industry.",Energy
FLEX,5.92E+09,Flex Ltd.,Computer Hardware,"Flex Ltd is a provider of Sketch-to-Scale services. It provides designing, manufacturing and supply chain services of packaged consumer electronics and industrial products to various industries and end-markets.",Technology
FOXA,1.84E+10,Twenty-First Century Fox Inc.,Entertainment,"Twenty-First Century Fox Inc is a diversified media and entertainment company. It operates in various business segments namely Cable Network Programming, Television, Filmed Entertainment, and Direct Broadcast Satellite Television.",Consumer Cyclical
ABBV,1.69E+11,AbbVie Inc.,Drug Manufacturers,"AbbVie Inc is a biopharmaceutical company that discovers, develops, manufactures and sells a range of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.",Healthcare
GIS,3.81E+10,General Mills Inc.,Consumer Packaged Goods,"General Mills Inc is a global manufacturer and marketer of branded consumer foods, such as ready-to-eat breakfast cereals, refrigerated dough and other baking items, snack foods, ice cream, and yogurt.",Consumer Defensive
VZ,2.39E+11,Verizon Communications Inc.,Communication Services,"Verizon Communications Inc is a provider of communications, information and entertainment products and services to consumers, businesses and governmental agencies. It offers voice, data and video services and solutions to wireless and wireline networks.",Communication Services
XRX,4.03E+09,Xerox Corporation,Application Software,"Xerox Corp provides printing equipment and supplies. The company is engaged in the designing, development, and sale of document management systems and solutions. It generates its revenue from the sale of equipment.",Technology
CVLT,1.89E+09,Commvault Systems Inc.,Application Software,"CommVault Systems Inc is a provider of data and information management software applications and related services. It develops, markets and sells software applications and services in North America, Europe, Australia and Asia.",Technology
X,1.77E+09,United States Steel Corporation,Steel,"United States Steel Corp is an integrated steel producer. Its products include flat-rolled and tubular products with production operations in North America and Europe. Its products cater to automotive, construction and energy companies.",Basic Materials
MAT,3.64E+09,Mattel Inc.,Travel & Leisure,"Mattel Inc designs, manufactures, and markets a variety of toy products through sales to its customers and directly to consumers. The products include fashion dolls, infant and preschool products, toy cars, and electrical vehicles, among others.",Consumer Cyclical
CTL,1.21E+10,CenturyLink Inc.,Communication Services,"CenturyLink Inc operates as a telecommunications company in the United States. It provides broadband, voice and wireless services to consumers and businesses across the country.",Communication Services
DVN,5.57E+09,Devon Energy Corporation,Oil & Gas - E&P,"Devon Energy Corp is engaged in the oil & gas sector. It is an independent energy company involved in the exploration, development and production of oil, natural gas and NGLs.",Energy
MPC,2.63E+10,Marathon Petroleum Corporation,Oil & Gas - Refining & Marketing,"Marathon Petroleum Corp is engaged in the oil & gas sector. The company is engaged in refining, marketing, retail and transportation of petroleum products in the United States.",Energy
PM,1.18E+11,Philip Morris International Inc,Tobacco Products,Philip Morris International Inc is a holding company. It manufactures and sells cigarettes and other tobacco products in markets outside the United States of America.,Consumer Defensive
MSCI,2.73E+10,MSCI Inc,Brokers & Exchanges,"MSCI Inc is an independent provider of research-driven insights and tools for institutional investors. It offers content, applications and services to support the needs of institutional investors throughout their investment processes.",Financial Services
RDN,3.42E+09,Radian Group Inc.,Insurance - Property & Casualty,Radian Group Inc provides mortgage insurance and products and services to the real estate and mortgage finance industries. It operates with two business segments namely Mortgage Insurance and Services.,Financial Services
KO,2.10E+11,Coca-Cola Company (The),Beverages - Non-Alcoholic,"Coca-Cola Co is nonalcoholic beverage company which manufactures a variety of carbonated and noncarbonated brands, including Coca-Cola, Diet Coke, Fanta, Sprite, Minute Maid, Powerade, and Dasani.",Consumer Defensive
AABA,1.02E+10,Altaba Inc.,Asset Management,"Altaba Inc is an independent, non-diversified, closed-end management investment company. The Fund's objective is to seek to increase the price per share at which it trades relative to then-current values of its principal underlying assets, and others.",Financial Services
SRC,3.77E+09,Spirit Realty Capital Inc.,REITs,"Spirit Realty Capital Inc is a self-administered & self-managed REIT. It invests in single-tenant, operationally essential real estate leased on a long-term, triple-net basis to tenants operating within retail, office & industrial property types.",Real Estate
NFX,3406000000,Newfield Exploration Company,Oil & Gas - E&P,"Newfield Exploration Co is an exploration and production company. It explores, develops and produces crude oil, natural gas and natural gas liquids. Its areas of operation include basins of Oklahoma and North Dakota and uinta basin of Utah.",Energy
COP,5.22E+10,ConocoPhillips,Oil & Gas - E&P,ConocoPhillips operates in the oil & gas sector. Its primary business involves exploration and production of crude oil and natural gas.,Energy
CHK,2.32E+08,Chesapeake Energy Corporation,Oil & Gas - E&P,"Chesapeake Energy Corp is a natural gas and oil exploration, development, acquisition and production company. It also owns an oil and natural gas marketing business. Its portfolio includes unconventional oil and natural gas assets in U.S. onshore plays.",Energy
DIS,2.24E+11,The Walt Disney Company,Entertainment,"Walt Disney Co together with its subsidiaries is a diversified worldwide entertainment company with operations in four business segments: Media Networks, Parks and Resorts, Studio Entertainment, and Consumer Products & Interactive Media.",Consumer Cyclical
LEN,1.88E+10,Lennar Corporation Class A,Homebuilding & Construction,"Lennar Corp is a homebuilding service provider. Its operations include the construction and sale of single-family attached and detached homes, and to a lesser extent multi-level residential buildings.",Consumer Cyclical
CVX,1.90E+11,Chevron Corporation,Oil & Gas - Integrated,"Chevron Corp engages in the exploration, production, and refining operations worldwide. Its oil refineries are spread across the United States, South Africa, and Asia with an approximate capacity of 2 million barrels of oil a day.",Energy
PYPL,1.84E+11,PayPal Holdings Inc.,Credit Services,"PayPal Holdings Inc is a technology platform company that enables digital and mobile payments on behalf of consumers and merchants. The company's payments platform includes PayPal, PayPal Credit, Venmo, Xoom and Braintree products.",Financial Services
CTRP,369198073.7,Ctrip.com International Ltd.,Travel & Leisure,"Ctrip.com International Ltd provides travel related services. Its areas of interest include reservation, transportation ticketing, packaged-tour, corporate travel management services, as well as Internet-related advertising.",Consumer Cyclical
WMT,3.44E+11,Walmart Inc.,Retail - Defensive,"Wal-Mart Stores Inc operates retail stores in various formats under various banners. Its operations comprise of three reportable business segments, Walmart U.S., Walmart International and Sam's Club in three categories retail, wholesale and others.",Consumer Defensive
MRK,2.08E+11,Merck & Company Inc. (new),Drug Manufacturers,"Merck & Co Inc is a health care company that delivers health solutions through its prescription medicines, vaccines, biologic therapies and animal health products.",Healthcare
MDLZ,7.56E+10,Mondelez International Inc.,Consumer Packaged Goods,"Mondelez International Inc is associated with the confectionery industry. It manufactures and markets snack food and beverage products like biscuits, chocolate, gum and candy, and beverages.The sale of biscuits generate maximum revenue for the company.",Consumer Defensive
RSPP,7477080000,RSP Permian Inc.,Oil & Gas - Drilling,"RSP Permian Inc produces oil and natural gas. It engaged in acquisition, exploration, development and production of unconventional oil and associated liquids-rich natural gas reserves in the Permian Basin of West Texas.",Energy
GG,9700975000,Goldcorp Inc.,Metals & Mining,"Goldcorp Inc is gold mining company. It is engaged in the operation, exploration, development, and acquisition of precious metal properties in Canada, the United States, Mexico, and Central and South America.",Basic Materials
MGM,1.09E+10,MGM Resorts International,Travel & Leisure,"MGM Resorts International owns and operates casino, hotel and entertainment resorts. The company offers its services through its properties in Las Vegas include Bellagio, MGM Grand, Mandalay Bay, Mirage, Luxor, and New York-New York.",Consumer Cyclical
SCHW,5.17E+10,Charles Schwab Corporation (The),Brokers & Exchanges,"Charles Schwab Corp through its subsidiaries provides retail brokerage and banking, retirement plan, and other corporate brokerage services. The company's operating business segments are Investor Services and Advisor Services.",Financial Services
NBR,5.08E+08,Nabors Industries Ltd.,Oil & Gas - Drilling,Nabors Industries Ltd owns and operates land-based drilling rig fleet. It provides offshore platform workover and drilling rigs in the United States and international markets.,Energy
NVDA,2.23E+11,NVIDIA Corporation,Semiconductors,"NVIDIA Corp is a developer of semiconductor equipment. It caters to areas like gaming, professional visualization, datacenter and automobiles.",Technology
JNJ,3.85E+11,Johnson & Johnson,Drug Manufacturers,"Johnson & Johnson is a holding company, which is engaged in the research and development, manufacture and sale of products in the health care field within its Consumer, Pharmaceutical and Medical Devices segments.",Healthcare
WDC,1.43E+10,Western Digital Corporation,Computer Hardware,"Western Digital Corp is the global leader in the hard disk drive market. It develops, manufactures, and provides data storage solutions that enable consumers to create, manage, experience and preserve digital content. Its products include HDDs and SSDs.",Technology
BSX,5.47E+10,Boston Scientific Corporation,Medical Devices,"Boston Scientific Corp is a developer, manufacturer, and marketer of medical devices. The firm markets its devices to health-care professionals and institutions globally. Foreign sales account for nearly half of the firm's total sales.",Healthcare
STI,3.11E+10,SunTrust Banks Inc.,Banks,"SunTrust Banks Inc is engaged in commercial, corporate, and retail banking operations. It provides financial services to consumer, business and corporate clients. Most SunTrust's deposits are in Southeastern U.S. states and the District of Columbia.",Financial Services
ON,8.27E+09,ON Semiconductor Corporation,Semiconductors,"ON Semiconductor Corp manufactures and markets semiconductor components. It provides a portfolio of analog, digital and mixed-signal integrated circuits, standard products, image sensors, custom devices, and power management and others.",Technology
BK,3.67E+10,Bank of New York Mellon Corporation (The),Asset Management,"Bank of New York Mellon Corporation is an investment company. The company provides investment management, investment services and wealth management that help institutions and individuals succeed in markets all over the world.",Financial Services
APA,6.24E+09,Apache Corporation,Oil & Gas - E&P,"Apache Corp is engaged in the oil & gas sector. As an independent energy company, its activities include exploration, development and production of natural gas, crude oil and natural gas liquids.",Energy
DAL,2.18E+10,Delta Air Lines Inc.,Airlines,Delta Air Lines Inc provides scheduled air transportation for passengers and cargo throughout the United States and across the world.,Industrials
CCL,1.80E+10,Carnival Corporation,Travel & Leisure,"Carnival Corp is leisure travel company providing vacations to major cruise destinations across the world. It operates over 100 cruise ships brands including Carnival Cruise Lines, Holland America, Princess Cruise, Seabourn and fathom, and Cunard Line.",Consumer Cyclical
BHGE,2.61E+10,Baker Hughes a GE company Class A,Oil & Gas - Services,"Baker Hughes, a GE Co is a fullstream provider of integrated oilfield products, services, and digital solutions. The company offers the full spectrum of services to oil and gas companies, from upstream to downstream.",Energy
DISCA,1.13E+10,Discovery Communications Inc. Series A Common Stock,Entertainment,Discovery Communications Inc is a media and entertainment company. It provides programming across multiple distribution platforms. The company also provides educational products and services to schools and operates digital media services.,Consumer Cyclical
LPI,2.94E+08,Laredo Petroleum Inc.,Oil & Gas - E&P,"Laredo Petroleum Inc is an independent energy company. It is focused on the exploration, development and acquisition of oil and natural gas properties mainly in the Permian Basin in West Texas.",Energy
ABT,1.60E+11,Abbott Laboratories,Drug Manufacturers,"Abbott Laboratories is a health care company that manufactures medical devices, blood glucose monitoring kits, nutritional healthcare products, diagnostic products and equipment, and branded generic drugs.",Healthcare
FITB,1.71E+10,Fifth Third Bancorp,Banks,"Fifth Third Bancorp provides banking products and services. The company offers checking, savings and money market accounts and credit products. Its segments are Commercial Banking, Branch Banking, Consumer Lending and Wealth and Asset Management.",Financial Services
USB,6.34E+10,U.S. Bancorp,Banks,"US Bancorp is a multi-state financial holding company. It offers financial services such as lending and depository service, cash management, foreign exchange and trust and investment management services.",Financial Services
BA,1.22E+11,The Boeing Company,Conglomerates,"Boeing Co designs, develops, manufactures, sells, services and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems and services.",Industrials
JBLU,3.83E+09,JetBlue Airways Corporation,Airlines,"JetBlue Airways Corp is engaged in the airlines industry. It primarily provides passenger airline service. It also extends its services to cargo transport, travel agency operations and travel insurance.",Industrials
EBAY,3.50E+10,eBay Inc.,Retail - Apparel & Specialty,"eBay Inc is a commerce platform and provides online marketplace for sale of goods. Its marketplace platforms include its online marketplace located at www.ebay.com, its localized counterparts and the eBay mobile apps.",Consumer Cyclical
HBAN,1.12E+10,Huntington Bancshares Incorporated,Banks,"Huntington Bancshares Inc is a multi-state financial holding company. It provides full-service commercial, small business, consumer, and mortgage banking services, as well as automobile financing, investment management services, and among others.",Financial Services
MRVL,2.34E+10,Marvell Technology Group Ltd.,Semiconductors,"Marvell Technology Group Ltd and its subsidiaries is a fabless semiconductor provider of application-specific standard products. The Company's product portfolio includes devices for storage, networking and connectivity.",Technology
ABX,2018205000,Barrick Gold Corporation,Metals & Mining,"Barrick Gold Corp is engaged in the production and sale of gold and copper, as well as related activities such as exploration and mine development. Its mining projects are located in North America, South America, Australia, and Africa.",Basic Materials
WBA,3.97E+10,Walgreens Boots Alliance Inc.,Drug Manufacturers,"Walgreens Boots Alliance Inc is a pharmacy led health and wellbeing company. It operates retail pharmacy store chain in the United States. The firm sells and markets its products under brands such as Walgreens, Duane Reade, Boots and Alliance Healthcare.",Healthcare
ETP,25072995000,Energy Transfer Partners L.P. representing limited partner interests,Oil & Gas - Midstream,"Energy Transfer Partners LP is engaged in the crude oil operations consist of an integrated set of pipeline, terminalling, and acquisition and marketing of crude oil from producers to end-user markets.",Energy
KNX,6.79E+09,Knight-Swift Transportation Holdings Inc.,Transportation & Logistics,"Knight-Swift Transportation Holdings Inc through its subsidiaries, operates the largest truckload fleet in North America as well as extensive rail intermodal and non-asset based freight brokerage and logistics management services.",Industrials
KBH,3.29E+09,KB Home,Homebuilding & Construction,"KB Home is engaged in the residential construction market. The Company's offers a variety of new homes, move-up and active adult homebuyers, including attached and detached single-family residential homes.",Consumer Cyclical
DISCK,1.14E+10,Discovery Communications Inc.,Entertainment,Discovery Communications Inc is a media and entertainment company. It provides programming across multiple distribution platforms. The company also provides educational products and services to schools and operates digital media services.,Consumer Cyclical
PGR,4.74E+10,Progressive Corporation (The),Insurance - Property & Casualty,"Progressive Corp is an insurance holding company which provides personal and commercial auto insurance, residential property insurance, and other specialty property-casualty insurance and related services.",Financial Services
MO,7.84E+10,Altria Group Inc.,Tobacco Products,"Altria Group Inc along with its subsidiaries is engaged in the manufacture and sale of cigarettes, machine-made large cigars, pipe tobacco, smokeless tobacco products and wine.",Consumer Defensive
MDT,1.33E+11,Medtronic plc.,Medical Devices,"Medtronic PLC is a medical technology company. It primarily manufacture and sell device-based medical therapies. It operates in Cardiac and Vascular, Minimally Invasive Therapies, Restorative Therapies and Diabetes segments.",Healthcare
EOG,3.46E+10,EOG Resources Inc.,Oil & Gas - E&P,"EOG Resources Inc explores, develops, produces and markets crude oil and natural gas in the USA, Trinidad and Tobago, United Kingdom, China, Argentina and, from time to time, select other international areas.",Energy
HPE,1.42E+10,Hewlett Packard Enterprise Company,Communication Equipment,"Hewlett Packard Enterprise Co is a communication equipment company that provides servers, storage, networking and technology services. Its business segments are Enterprise Group, Software, Enterprise Services, Financial Services and Corporate Investments.",Technology
TXN,1.21E+11,Texas Instruments Incorporated,Semiconductors,"Texas Instruments Inc designs and makes semiconductors that it sells to electronics designers and manufacturers. It also manufactures digital signal processors used in wireless communications, and microcontrollers used in various electronics applications.",Technology
OKE,1.84E+10,ONEOK Inc.,Oil & Gas - Midstream,"ONEOK Inc is a diversified energy company. Its business operations are divided into Natural Gas Gathering and Processing, Natural Gas Liquids and Natural Gas Pipelines.",Energy
CVS,9.07E+10,CVS Health Corporation,Health Care Plans,"CVS Health Corp operates in the healthcare sector. Its primary business is that of operating retail pharmacies. The company has three reportable segments namely Pharmacy Services, Retail/LTC, and Corporate.",Healthcare
HES,1.77E+10,Hess Corporation,Oil & Gas - E&P,"Hess Corp is an oil and gas company involved in the exploration, development, production, transportation, purchase and sale of crude oil, natural gas liquids, and natural gas with production operations.",Energy
GDDY,1.33E+10,GoDaddy Inc. Class A,Online Media,"GoDaddy Inc, through its subsidiaries provides a variety of domain name registration and website hosting services. It also provides cloud-based solutions.",Technology
BX,6.97E+10,The Blackstone Group L.P. Representing Limited Partnership Interests,Asset Management,"Blackstone Group LP is an alternative asset manager. Its alternative asset management businesses include investment vehicles focused on private equity, real estate, hedge fund solutions, non-investment grade credit and secondary funds.",Financial Services
NLSN,5.94E+09,Nielsen N.V.,Business Services,Nielsen Holdings PLC is a professional services company providing performance management services. It helps its clients to enhance their interactions with consumers and make critical business decisions. Its segments are Buy and Watch.,Industrials
TS,9.04E+09,Tenaris S.A. American Depositary Shares,Steel,Tenaris SA is a global manufacturer of welded steel casing and tubing for oil and gas drilling projects. The company also manufactures various diameter pipes for oil and gas transportation projects and other industrial uses.,Basic Materials
BOX,2.96E+09,Box Inc. Class A,Application Software,"Box Inc provides cloud content management platform that enables organizations to securely manage cloud content while allowing easy, secure access and sharing of content from anywhere, on any device.",Technology
OXY,2.13E+10,Occidental Petroleum Corporation,Oil & Gas - Integrated,"Occidental Petroleum Corp is in the business of exploration and production of oil and gas. It also processes, gathers, transports, stores, purchases and markets oil, condensate, natural gas liquids, natural gas.",Energy
SYF,1.51E+10,Synchrony Financial,Credit Services,"Synchrony Financial provides consumer financial products services to the diverse group of national and regional retailers, local merchants, manufacturers, buying groups, industry associations and healthcare service providers.",Financial Services
LUV,2.24E+10,Southwest Airlines Company,Airlines,Southwest Airlines Co is one of largest domestic carrier in the United States. The company operates approximately 700 aircraft constituting an all-Boeing fleet and specializes in short-haul flights and several international locations.,Industrials
AA,2.34E+09,Alcoa Corporation,Metals & Mining,Alcoa Corp is an integrated aluminum company. The company engages in aluminum production from bauxite mining to manufactures finished aluminum goods. It serves finished aluminum goods to a wide-variety of industrial end markets.,Basic Materials
EQR,2.43E+10,Equity Residential of Beneficial Interest,REITs,"Equity Residential is a real estate investment trust which is focused on the acquisition, development and management of rental apartment properties in urban and high-density suburban coastal gateway markets in the US.",Real Estate
